Expected Impact / Date,Actual,Forecast,Previous
" Feb 7, 2020",3.60%,3.50%,3.50%
" Jan 10, 2020",3.50%,3.50%,3.50%
" Dec 6, 2019",3.50%,3.60%,3.60%
" Nov 1, 2019",3.60%,3.60%,3.50%
" Oct 4, 2019",3.50%,3.70%,3.70%
" Sep 6, 2019",3.70%,3.70%,3.70%
" Aug 2, 2019",3.70%,3.60%,3.70%
" Jul 5, 2019",3.70%,3.60%,3.60%
" Jun 7, 2019",3.60%,3.60%,3.60%
" May 3, 2019",3.60%,3.80%,3.80%
" Apr 5, 2019",3.80%,3.80%,3.80%
" Mar 8, 2019",3.80%,3.90%,4.00%
" Feb 1, 2019",4.00%,3.90%,3.90%
" Jan 4, 2019",3.90%,3.70%,3.70%
" Dec 7, 2018",3.70%,3.70%,3.70%
" Nov 2, 2018",3.70%,3.70%,3.70%
" Oct 5, 2018",3.70%,3.80%,3.90%
" Sep 7, 2018",3.90%,3.80%,3.90%
" Aug 3, 2018",3.90%,3.90%,4.00%
" Jul 6, 2018",4.00%,3.80%,3.80%
" Jun 1, 2018",3.80%,3.90%,3.90%
" May 4, 2018",3.90%,4.00%,4.10%
" Apr 6, 2018",4.10%,4.00%,4.10%
" Mar 9, 2018",4.10%,4.00%,4.10%
" Feb 2, 2018",4.10%,4.10%,4.10%
" Jan 5, 2018",4.10%,4.10%,4.10%
" Dec 8, 2017",4.10%,4.10%,4.10%
" Nov 3, 2017",4.10%,4.20%,4.20%
" Oct 6, 2017",4.20%,4.40%,4.40%
" Sep 1, 2017",4.40%,4.30%,4.30%
" Aug 4, 2017",4.30%,4.30%,4.40%
" Jul 7, 2017",4.40%,4.30%,4.30%
" Jun 2, 2017",4.30%,4.40%,4.40%
" May 5, 2017",4.40%,4.60%,4.50%
" Apr 7, 2017",4.50%,4.70%,4.70%
" Mar 10, 2017",4.70%,4.70%,4.80%
" Feb 3, 2017",4.80%,4.70%,4.70%
" Jan 6, 2017",4.70%,4.70%,4.60%
" Dec 2, 2016",4.60%,4.90%,4.90%
" Nov 4, 2016",4.90%,4.90%,5.00%
" Oct 7, 2016",5.00%,4.90%,4.90%
" Sep 2, 2016",4.90%,4.80%,4.90%
" Aug 5, 2016",4.90%,4.80%,4.90%
" Jul 8, 2016",4.90%,4.80%,4.70%
" Jun 3, 2016",4.70%,4.90%,5.00%
" May 6, 2016",5.00%,5.00%,5.00%
" Apr 1, 2016",5.00%,4.90%,4.90%
" Mar 4, 2016",4.90%,4.90%,4.90%
" Feb 5, 2016",4.90%,5.00%,5.00%
" Jan 8, 2016",5.00%,5.00%,5.00%
" Dec 4, 2015",5.00%,5.00%,5.00%
" Nov 6, 2015",5.00%,5.00%,5.10%
" Oct 2, 2015",5.10%,5.10%,5.10%
" Sep 4, 2015",5.10%,5.20%,5.30%
" Aug 7, 2015",5.30%,5.30%,5.30%
" Jul 2, 2015",5.30%,5.40%,5.50%
" Jun 5, 2015",5.50%,5.40%,5.40%
" May 8, 2015",5.40%,5.40%,5.50%
" Apr 3, 2015",5.50%,5.50%,5.50%
" Mar 6, 2015",5.50%,5.60%,5.70%
" Feb 6, 2015",5.70%,5.60%,5.60%
" Jan 9, 2015",5.60%,5.70%,5.80%
" Dec 5, 2014",5.80%,5.80%,5.80%
" Nov 7, 2014",5.80%,5.90%,5.90%
" Oct 3, 2014",5.90%,6.10%,6.10%
" Sep 5, 2014",6.10%,6.10%,6.20%
" Aug 1, 2014",6.20%,6.10%,6.10%
" Jul 3, 2014",6.10%,6.30%,6.30%
" Jun 6, 2014",6.30%,6.40%,6.30%
" May 2, 2014",6.30%,6.60%,6.70%
" Apr 4, 2014",6.70%,6.60%,6.70%
" Mar 7, 2014",6.70%,6.60%,6.60%
" Feb 7, 2014",6.60%,6.70%,6.70%
" Jan 10, 2014",6.70%,7.00%,7.00%
" Dec 6, 2013",7.00%,7.20%,7.30%
" Nov 8, 2013",7.30%,7.30%,7.20%
" Oct 22, 2013",7.20%,7.30%,7.30%
" Sep 6, 2013",7.30%,7.40%,7.40%
" Aug 2, 2013",7.40%,7.50%,7.60%
" Jul 5, 2013",7.60%,7.50%,7.60%
" Jun 7, 2013",7.60%,7.50%,7.50%
" May 3, 2013",7.50%,7.60%,7.60%
" Apr 5, 2013",7.60%,7.70%,7.70%
" Mar 8, 2013",7.70%,7.90%,7.90%
" Feb 1, 2013",7.90%,7.80%,7.80%
" Jan 4, 2013",7.80%,7.70%,7.70%
" Dec 7, 2012",7.70%,7.90%,7.90%
" Nov 2, 2012",7.90%,7.90%,7.80%
" Oct 5, 2012",7.80%,8.20%,8.10%
" Sep 7, 2012",8.10%,8.30%,8.30%
" Aug 3, 2012",8.30%,8.20%,8.20%
" Jul 6, 2012",8.20%,8.20%,8.20%
" Jun 1, 2012",8.20%,8.10%,8.10%
" May 4, 2012",8.10%,8.20%,8.20%
" Apr 6, 2012",8.20%,8.30%,8.30%
" Mar 9, 2012",8.30%,8.30%,8.30%
" Feb 3, 2012",8.30%,8.50%,8.50%
" Jan 6, 2012",8.50%,8.70%,8.60%
" Dec 2, 2011",8.60%,9.00%,9.00%
" Nov 4, 2011",9.00%,9.10%,9.10%
" Oct 7, 2011",9.10%,9.10%,9.10%
" Sep 2, 2011",9.10%,9.10%,9.10%
" Aug 5, 2011",9.10%,9.20%,9.20%
" Jul 8, 2011",9.20%,9.10%,9.10%
" Jun 3, 2011",9.10%,9.00%,9.00%
" May 6, 2011",9.00%,8.80%,8.80%
" Apr 1, 2011",8.80%,8.90%,8.90%
" Mar 4, 2011",8.90%,9.10%,9.00%
" Feb 4, 2011",9.00%,9.50%,9.40%
" Jan 7, 2011",9.40%,9.70%,9.80%
" Dec 3, 2010",9.80%,9.60%,9.60%
" Nov 5, 2010",9.60%,9.60%,9.60%
" Oct 8, 2010",9.60%,9.70%,9.60%
" Sep 3, 2010",9.60%,9.60%,9.50%
" Aug 6, 2010",9.50%,9.60%,9.50%
" Jul 2, 2010",9.50%,9.80%,9.70%
" Jun 4, 2010",9.70%,9.80%,9.90%
" May 7, 2010",9.90%,9.70%,9.70%
" Apr 2, 2010",9.70%,9.70%,9.70%
" Mar 5, 2010",9.70%,9.80%,9.70%
" Feb 5, 2010",9.70%,10.00%,10.00%
" Jan 8, 2010",10.00%,10.10%,10.00%
" Dec 4, 2009",10.00%,10.20%,10.20%
" Nov 6, 2009",10.20%,9.90%,9.80%
" Oct 2, 2009",9.80%,9.80%,9.70%
" Sep 4, 2009",9.70%,9.50%,9.40%
" Aug 7, 2009",9.40%,9.60%,9.50%
" Jul 2, 2009",9.50%,9.60%,9.40%
" Jun 5, 2009",9.40%,9.20%,8.90%
" May 8, 2009",8.90%,8.90%,8.50%
" Apr 3, 2009",8.50%,8.50%,8.10%
" Mar 6, 2009",8.10%,7.90%,7.60%
" Feb 6, 2009",7.60%,7.50%,7.20%
" Jan 9, 2009",7.20%,7.00%,6.70%
" Dec 5, 2008",6.70%,6.80%,6.50%
" Nov 7, 2008",6.50%,6.30%,6.10%
" Oct 3, 2008",6.10%,6.10%,6.10%
" Sep 5, 2008",6.10%,5.70%,5.70%
" Aug 1, 2008",5.70%,5.60%,5.50%
" Jul 3, 2008",5.50%,5.40%,5.50%
" Jun 6, 2008",5.50%,5.10%,5.00%
" May 2, 2008",5.00%,5.20%,5.10%
" Apr 4, 2008",5.10%,5.00%,4.80%
" Mar 7, 2008",4.80%,5.00%,4.90%
" Feb 1, 2008",4.90%,5.00%,5.00%
" Jan 4, 2008",5.00%,4.80%,4.70%
" Dec 7, 2007",4.70%,4.80%,4.70%
" Nov 2, 2007",4.70%,4.70%,4.70%
" Oct 5, 2007",4.70%,4.70%,4.60%
" Sep 7, 2007",4.60%,4.60%,4.60%
" Aug 3, 2007",4.60%,4.50%,4.50%
" Jul 6, 2007",4.50%,4.50%,4.50%
" Jun 1, 2007",4.50%,4.50%,4.50%
" May 4, 2007",4.50%,4.50%,4.40%
" Apr 6, 2007",4.40%,4.60%,4.50%
" Mar 9, 2007",4.50%,4.60%,4.60%
" Feb 2, 2007",4.60%,4.50%,4.50%
" Jan 5, 2007",4.50%,4.50%,4.50%
