Time,Currency,Event,Forecast,Actual,Previous
04/11/2019 11:30,GBP,Construction PMI,44.3,44.2,43.3
04/11/2019 17:00,USD,Factory Orders m/m,-0.5%,-0.6%,-0.1%
04/11/2019 21:00,USD,Loan Officer Survey,unknown,unknown,unknown
04/11/2019 21:30,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
04/11/2019 22:05,NZD,RBNZ Gov Orr Speaks,unknown,unknown,unknown
04/11/2019 23:30,AUD,AIG Services Index,unknown,54.2,51.5
05/11/2019 01:50,JPY,Monetary Base y/y,2.9%,3.1%,3.0%
05/11/2019 02:00,NZD,ANZ Commodity Prices m/m,unknown,1.2%,0.0%
05/11/2019 02:01,GBP,BRC Retail Sales Monitor y/y,-1.4%,0.1%,-1.7%
05/11/2019 03:45,CNY,Caixin Services PMI,51.5,51.1,51.3
05/11/2019 05:30,AUD,RBA Rate Statement,unknown,unknown,unknown
05/11/2019 05:30,AUD,Cash Rate,0.75%,0.75%,0.75%
05/11/2019 09:45,EUR,French Gov Budget Balance,unknown,-109.0B,-123.1B
05/11/2019 10:00,EUR,Spanish Unemployment Change,62.0K,97.9K,13.9K
05/11/2019 11:30,GBP,Final Services PMI,49.6,50.0,49.5
05/11/2019 12:00,EUR,PPI m/m,0.1%,0.1%,-0.5%
05/11/2019 12:30,GBP,10-y Bond Auction,unknown,0.74|2.6,0.63|1.9
05/11/2019 15:30,CAD,Trade Balance,-0.6B,-1.0B,-1.2B
05/11/2019 15:30,USD,Trade Balance,-52.9B,-52.5B,-55.0B
05/11/2019 16:45,USD,Final Services PMI,51.0,50.6,51.0
05/11/2019 17:00,USD,ISM Services PMI,53.5,54.7,52.6
05/11/2019 17:00,USD,JOLTS Job Openings,7.06M,7.02M,7.30M
05/11/2019 17:06,NZD,GDT Price Index,unknown,3.7%,0.5%
05/11/2019 17:12,USD,RCM/TIPP Economic Optimism,53.2,52.9,52.6
05/11/2019 23:45,NZD,Employment Change q/q,0.2%,0.2%,0.6%
05/11/2019 23:45,NZD,Unemployment Rate,4.1%,4.2%,3.9%
05/11/2019 23:45,NZD,Labor Cost Index q/q,0.6%,0.6%,0.8%
06/11/2019 01:50,JPY,Monetary Policy Meeting Minutes,unknown,unknown,unknown
06/11/2019 05:35,JPY,10-y Bond Auction,unknown,-0.10|3.6,-0.16|3.4
06/11/2019 09:00,EUR,German Factory Orders m/m,0.1%,1.3%,-0.4%
06/11/2019 10:15,EUR,Spanish Services PMI,52.8,52.7,53.3
06/11/2019 10:45,EUR,Italian Services PMI,51.0,52.2,51.4
06/11/2019 10:50,EUR,French Final Services PMI,52.9,52.9,52.9
06/11/2019 10:55,EUR,German Final Services PMI,51.2,51.6,51.2
06/11/2019 11:00,EUR,Final Services PMI,51.8,52.2,51.8
06/11/2019 12:00,EUR,Retail Sales m/m,0.1%,0.1%,0.6%
06/11/2019 15:00,USD,FOMC Member Evans Speaks,unknown,unknown,unknown
06/11/2019 15:30,USD,Prelim Nonfarm Productivity q/q,1.0%,-0.3%,2.3%
06/11/2019 15:30,USD,Prelim Unit Labor Costs q/q,2.2%,3.6%,2.6%
06/11/2019 16:30,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
06/11/2019 17:00,CAD,Ivey PMI,49.3,48.2,48.7
06/11/2019 17:30,USD,Crude Oil Inventories,1.9M,7.9M,5.7M
06/11/2019 20:01,USD,10-y Bond Auction,unknown,1.81|2.5,1.59|2.4
06/11/2019 23:30,AUD,AIG Construction Index,unknown,43.9,42.6
07/11/2019 02:30,AUD,Goods Trade Balance,5.10B,7.18B,6.62B
07/11/2019 09:00,EUR,German Industrial Production m/m,-0.3%,-0.6%,0.4%
07/11/2019 10:00,CHF,Foreign Currency Reserves,unknown,779B,777B
07/11/2019 10:28,GBP,Halifax HPI m/m,0.3%,-0.1%,-0.4%
07/11/2019 11:00,EUR,ECB Economic Bulletin,unknown,unknown,unknown
07/11/2019 11:00,EUR,Italian Retail Sales m/m,0.3%,0.7%,-0.5%
07/11/2019 11:50,EUR,Spanish 10-y Bond Auction,unknown,0.30|2.3,0.25|2.5
07/11/2019 12:00,EUR,EU Economic Forecasts,unknown,unknown,unknown
07/11/2019 12:02,EUR,French 10-y Bond Auction,unknown,-0.03|2.1,-0.24|1.7
07/11/2019 00:00,EUR,Eurogroup Meetings,unknown,unknown,unknown
07/11/2019 14:00,GBP,BOE Monetary Policy Report,unknown,unknown,unknown
07/11/2019 14:00,GBP,Monetary Policy Summary,unknown,unknown,unknown
07/11/2019 14:00,GBP,MPC Official Bank Rate Votes,0-0-9,0-2-7,0-0-9
07/11/2019 14:00,GBP,Official Bank Rate,0.75%,0.75%,0.75%
07/11/2019 14:00,GBP,Asset Purchase Facility,435B,435B,435B
07/11/2019 14:00,GBP,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
07/11/2019 14:30,GBP,BOE Gov Carney Speaks,unknown,unknown,unknown
07/11/2019 15:30,USD,Unemployment Claims,215K,211K,219K
07/11/2019 17:30,USD,Natural Gas Storage,46B,34B,89B
07/11/2019 20:01,USD,30-y Bond Auction,unknown,2.43|2.2,2.17|2.2
07/11/2019 22:00,USD,Consumer Credit m/m,15.6B,9.5B,17.8B
08/11/2019 01:30,JPY,Average Cash Earnings y/y,0.1%,0.8%,-0.1%
08/11/2019 01:30,JPY,Household Spending y/y,7.1%,9.5%,1.0%
08/11/2019 02:30,AUD,RBA Monetary Policy Statement,unknown,unknown,unknown
08/11/2019 02:30,AUD,Home Loans m/m,2.1%,1.4%,2.7%
08/11/2019 05:10,CNY,Trade Balance,287B,301B,275B
08/11/2019 05:11,CNY,USD-Denominated Trade Balance,40.6B,42.8B,39.7B
08/11/2019 19:00,JPY,Leading Indicators,92.2%,92.2%,91.9%
08/11/2019 08:45,CHF,Unemployment Rate,2.3%,2.3%,2.3%
08/11/2019 09:00,EUR,German Trade Balance,19.3B,19.2B,18.7B
08/11/2019 09:45,EUR,French Industrial Production m/m,0.4%,0.3%,-0.9%
08/11/2019 09:45,EUR,French Prelim Private Payrolls q/q,0.3%,0.3%,0.2%
08/11/2019 09:45,EUR,French Trade Balance,-4.9B,-5.6B,-5.4B
08/11/2019 00:00,EUR,ECOFIN Meetings,unknown,unknown,unknown
08/11/2019 15:18,CAD,Housing Starts,220K,202K,221K
08/11/2019 15:30,CAD,Employment Change,14.7K,-1.8K,53.7K
08/11/2019 15:30,CAD,Unemployment Rate,5.5%,5.5%,5.5%
08/11/2019 15:30,CAD,Building Permits m/m,-1.9%,-6.5%,5.6%
08/11/2019 17:00,USD,Prelim UoM Consumer Sentiment,96.0,95.7,95.5
08/11/2019 17:00,USD,Final Wholesale Inventories m/m,-0.3%,-0.4%,-0.3%
08/11/2019 17:00,USD,Prelim UoM Inflation Expectations,unknown,2.5%,2.5%
08/11/2019 18:45,USD,FOMC Member Brainard Speaks,unknown,unknown,unknown
08/11/2019 20:30,CAD,Gov Council Member Beaudry Speaks,unknown,unknown,unknown
09/11/2019 03:00,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
09/11/2019 03:30,CNY,CPI y/y,3.2%,3.8%,3.0%
09/11/2019 03:30,CNY,PPI y/y,-1.5%,-1.6%,-1.2%
10/11/2019 00:00,EUR,Spanish Parliamentary Election,unknown,unknown,unknown
11/11/2019 01:50,JPY,Bank Lending y/y,2.0%,2.0%,2.0%
11/11/2019 01:50,JPY,BOJ Summary of Opinions,unknown,unknown,unknown
11/11/2019 01:50,JPY,Core Machinery Orders m/m,0.9%,-2.9%,-2.4%
11/11/2019 01:50,JPY,Current Account,1.66T,1.49T,1.72T
11/11/2019 19:00,JPY,Economy Watchers Sentiment,40.7,36.7,46.7
11/11/2019 09:00,EUR,German WPI m/m,0.2%,-0.1%,-0.4%
11/11/2019 00:00,EUR,French Bank Holiday,unknown,unknown,unknown
11/11/2019 11:00,EUR,Italian Industrial Production m/m,-0.4%,-0.4%,0.4%
11/11/2019 11:01,CNY,New Loans,800B,661B,1690B
11/11/2019 11:01,CNY,M2 Money Supply y/y,8.4%,8.4%,8.4%
11/11/2019 11:30,GBP,Prelim GDP q/q,0.4%,0.3%,-0.2%
11/11/2019 11:30,GBP,GDP m/m,-0.1%,-0.1%,-0.2%
11/11/2019 11:30,GBP,Manufacturing Production m/m,-0.2%,-0.4%,-0.7%
11/11/2019 11:30,GBP,Construction Output m/m,-0.5%,-0.2%,0.1%
11/11/2019 11:30,GBP,Goods Trade Balance,-10.1B,-12.5B,-10.8B
11/11/2019 11:30,GBP,Index of Services 3m/3m,0.4%,0.4%,0.4%
11/11/2019 11:30,GBP,Industrial Production m/m,-0.1%,-0.3%,-0.7%
11/11/2019 11:30,GBP,Prelim Business Investment q/q,-0.5%,0.0%,-0.4%
11/11/2019 00:00,CAD,Bank Holiday,unknown,unknown,unknown
11/11/2019 00:00,USD,Bank Holiday,unknown,unknown,unknown
11/11/2019 15:15,USD,FOMC Member Rosengren Speaks,unknown,unknown,unknown
11/11/2019 15:17,GBP,NIESR GDP Estimate,unknown,0.1%,0.3%
11/11/2019 23:45,NZD,Visitor Arrivals m/m,unknown,-0.1%,1.4%
12/11/2019 01:50,JPY,M2 Money Stock y/y,2.5%,2.5%,2.4%
12/11/2019 02:30,AUD,NAB Business Confidence,unknown,unknown,unknown
12/11/2019 04:00,NZD,Inflation Expectations q/q,unknown,1.80%,1.86%
12/11/2019 05:35,JPY,30-y Bond Auction,unknown,0.46|3.7,0.38|3.9
12/11/2019 19:59,JPY,Prelim Machine Tool Orders y/y,unknown,-37.4%,-35.5%
12/11/2019 11:30,GBP,Average Earnings Index 3m/y,3.8%,3.6%,3.7%
12/11/2019 11:30,GBP,Claimant Count Change,24.2K,33.0K,13.5K
12/11/2019 11:30,GBP,Unemployment Rate,3.9%,3.8%,3.9%
12/11/2019 12:00,EUR,German ZEW Economic Sentiment,-13.2,-2.1,-22.8
12/11/2019 12:00,EUR,ZEW Economic Sentiment,-11.5,-1.0,-23.5
12/11/2019 12:30,USD,FOMC Member Clarida Speaks,unknown,unknown,unknown
12/11/2019 12:45,USD,NFIB Small Business Index,102.3,102.4,101.8
12/11/2019 07:00,USD,President Trump Speaks,unknown,unknown,unknown
12/11/2019 23:45,NZD,FPI m/m,unknown,-0.3%,0.0%
13/11/2019 01:30,AUD,Westpac Consumer Sentiment,unknown,4.5%,-5.5%
13/11/2019 01:50,JPY,PPI y/y,-0.5%,-0.4%,-1.1%
13/11/2019 02:30,AUD,Wage Price Index q/q,0.5%,0.5%,0.5%
13/11/2019 03:00,NZD,Official Cash Rate,0.75%,1.00%,1.00%
13/11/2019 03:00,NZD,RBNZ Monetary Policy Statement,unknown,unknown,unknown
13/11/2019 03:00,NZD,RBNZ Rate Statement,unknown,unknown,unknown
13/11/2019 04:00,NZD,RBNZ Press Conference,unknown,unknown,unknown
13/11/2019 09:00,EUR,German Final CPI m/m,0.1%,0.1%,0.1%
13/11/2019 11:30,GBP,CPI y/y,1.6%,1.5%,1.7%
13/11/2019 11:30,GBP,Core CPI y/y,1.7%,1.7%,1.7%
13/11/2019 11:30,GBP,HPI y/y,1.2%,1.3%,1.3%
13/11/2019 11:30,GBP,PPI Input m/m,-1.1%,-1.3%,-0.9%
13/11/2019 11:30,GBP,PPI Output m/m,0.0%,-0.1%,-0.1%
13/11/2019 11:30,GBP,RPI y/y,2.2%,2.1%,2.4%
13/11/2019 12:00,EUR,Industrial Production m/m,-0.2%,0.1%,0.4%
13/11/2019 12:32,EUR,German 10-y Bond Auction,unknown,-0.29|2.0,-0.41|2.3
13/11/2019 15:30,USD,Core CPI m/m,0.2%,0.2%,0.1%
13/11/2019 15:30,USD,CPI m/m,0.3%,0.4%,0.0%
13/11/2019 15:30,USD,CPI y/y,1.7%,1.8%,1.7%
13/11/2019 00:00,All,BRICS Summit,unknown,unknown,unknown
13/11/2019 18:00,USD,Fed Chair Powell Testifies,unknown,unknown,unknown
13/11/2019 21:02,USD,Federal Budget Balance,-131.0B,-134.5B,82.8B
13/11/2019 21:10,NZD,RBNZ Gov Orr Speaks,unknown,unknown,unknown
14/11/2019 00:50,AUD,RBA Gov Bullock Speaks,unknown,unknown,unknown
14/11/2019 01:50,JPY,Prelim GDP q/q,0.2%,0.1%,0.3%
14/11/2019 01:53,JPY,Prelim GDP Price Index y/y,0.5%,0.6%,0.4%
14/11/2019 02:01,GBP,RICS House Price Balance,-3%,-5%,-3%
14/11/2019 02:05,AUD,MI Inflation Expectations,unknown,4.0%,3.6%
14/11/2019 02:30,AUD,Employment Change,16.2K,-19.0K,12.5K
14/11/2019 02:30,AUD,Unemployment Rate,5.2%,5.3%,5.2%
14/11/2019 04:00,CNY,Fixed Asset Investment ytd/y,5.4%,5.2%,5.4%
14/11/2019 04:00,CNY,Industrial Production y/y,5.5%,4.7%,5.8%
14/11/2019 04:00,CNY,Retail Sales y/y,7.8%,7.2%,7.8%
14/11/2019 04:00,CNY,Unemployment Rate,unknown,5.1%,5.2%
14/11/2019 06:30,JPY,Tertiary Industry Activity m/m,0.2%,1.8%,0.3%
14/11/2019 09:00,EUR,German Prelim GDP q/q,-0.1%,0.1%,-0.1%
14/11/2019 09:30,CHF,PPI m/m,0.0%,-0.2%,-0.3%
14/11/2019 09:45,EUR,French Final CPI m/m,-0.1%,0.0%,-0.1%
14/11/2019 11:30,GBP,Retail Sales m/m,0.2%,-0.1%,0.0%
14/11/2019 12:00,EUR,Flash Employment Change q/q,0.2%,0.1%,0.2%
14/11/2019 12:00,EUR,Flash GDP q/q,0.2%,0.2%,0.2%
14/11/2019 12:30,USD,FOMC Member Quarles Speaks,unknown,unknown,unknown
14/11/2019 12:34,GBP,30-y Bond Auction,unknown,1.25|1.7,1.15|2.0
14/11/2019 15:30,CAD,NHPI m/m,0.2%,0.2%,0.1%
14/11/2019 15:30,USD,PPI m/m,0.3%,0.4%,-0.3%
14/11/2019 15:30,USD,Core PPI m/m,0.2%,0.3%,-0.3%
14/11/2019 15:30,USD,Unemployment Claims,215K,225K,211K
14/11/2019 16:10,USD,FOMC Member Clarida Speaks,unknown,unknown,unknown
14/11/2019 16:10,USD,FOMC Member Evans Speaks,unknown,unknown,unknown
14/11/2019 00:00,All,BRICS Summit,unknown,unknown,unknown
14/11/2019 16:30,GBP,CB Leading Index m/m,unknown,-0.4%,-0.5%
14/11/2019 17:00,USD,Fed Chair Powell Testifies,unknown,unknown,unknown
14/11/2019 17:00,USD,Mortgage Delinquencies,unknown,3.97%,4.53%
14/11/2019 17:30,USD,Natural Gas Storage,2B,3B,34B
14/11/2019 18:00,USD,Crude Oil Inventories,1.5M,2.2M,7.9M
14/11/2019 07:00,CHF,Gov Board Member Maechler Speaks,unknown,unknown,unknown
14/11/2019 07:00,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
14/11/2019 07:20,USD,FOMC Member Bullard Speaks,unknown,unknown,unknown
14/11/2019 23:30,NZD,BusinessNZ Manufacturing Index,unknown,52.6,48.8
15/11/2019 03:30,AUD,RBA Deputy Gov Debelle Speaks,unknown,unknown,unknown
15/11/2019 03:30,CNY,New Home Prices m/m,unknown,0.50%,0.53%
15/11/2019 04:45,CAD,BOC Gov Poloz Speaks,unknown,unknown,unknown
15/11/2019 06:30,JPY,Revised Industrial Production m/m,1.4%,1.7%,1.4%
15/11/2019 11:02,EUR,Italian Trade Balance,3.54B,2.78B,2.59B
15/11/2019 12:00,EUR,Final Core CPI y/y,1.1%,1.1%,1.1%
15/11/2019 12:00,EUR,Final CPI y/y,0.7%,0.7%,0.7%
15/11/2019 12:00,EUR,Trade Balance,18.7B,18.3B,19.7B
15/11/2019 15:30,CAD,Foreign Securities Purchases,4.22B,4.76B,4.62B
15/11/2019 15:30,CAD,Gov Council Member Lane Speaks,unknown,unknown,unknown
15/11/2019 15:30,USD,Core Retail Sales m/m,0.3%,0.2%,-0.1%
15/11/2019 15:30,USD,Retail Sales m/m,0.1%,0.3%,-0.3%
15/11/2019 15:30,USD,Empire State Manufacturing Index,6.1,2.9,4.0
15/11/2019 15:30,USD,Import Prices m/m,-0.2%,-0.5%,0.1%
15/11/2019 16:15,USD,Capacity Utilization Rate,77.2%,76.7%,77.5%
15/11/2019 16:15,USD,Industrial Production m/m,-0.4%,-0.8%,-0.3%
15/11/2019 17:00,USD,Business Inventories m/m,0.1%,0.0%,-0.1%
15/11/2019 07:00,EUR,German Buba President Weidmann Speaks,unknown,unknown,unknown
17/11/2019 23:30,NZD,BusinessNZ Services Index,unknown,55.4,54.5
18/11/2019 02:01,GBP,Rightmove HPI m/m,unknown,-1.3%,0.6%
18/11/2019 09:16,CNY,Foreign Direct Investment ytd/y,unknown,6.6%,6.5%
18/11/2019 13:00,EUR,German Buba Monthly Report,unknown,unknown,unknown
18/11/2019 17:00,USD,NAHB Housing Market Index,71,70,71
18/11/2019 17:30,AUD,CB Leading Index m/m,unknown,0.2%,0.2%
18/11/2019 17:30,CAD,BOC Financial System Review,unknown,unknown,unknown
18/11/2019 23:00,USD,TIC Long-Term Purchases,70.3B,49.5B,-41.2B
18/11/2019 23:45,NZD,PPI Input q/q,0.2%,0.9%,0.3%
18/11/2019 23:45,NZD,PPI Output q/q,0.4%,1.0%,0.5%
19/11/2019 00:00,AUD,RBA Assist Gov Kent Speaks,unknown,unknown,unknown
19/11/2019 02:30,AUD,Monetary Policy Meeting Minutes,unknown,unknown,unknown
19/11/2019 09:00,CHF,Trade Balance,4.24B,3.50B,4.05B
19/11/2019 11:00,EUR,Current Account,22.3B,28.2B,28.5B
19/11/2019 13:00,GBP,CBI Industrial Order Expectations,-30,-26,-37
19/11/2019 15:30,CAD,Manufacturing Sales m/m,-0.5%,-0.2%,0.8%
19/11/2019 15:30,USD,Building Permits,1.39M,1.46M,1.39M
19/11/2019 15:30,USD,Housing Starts,1.32M,1.31M,1.27M
19/11/2019 16:00,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
19/11/2019 16:44,NZD,GDT Price Index,unknown,1.7%,3.7%
19/11/2019 20:00,CAD,Gov Council Member Wilkins Speaks,unknown,unknown,unknown
19/11/2019 22:00,GBP,Prime Minister Johnson Speaks,unknown,unknown,unknown
20/11/2019 01:30,AUD,MI Leading Index m/m,unknown,-0.1%,-0.1%
20/11/2019 01:50,JPY,Trade Balance,0.26T,-0.03T,-0.06T
20/11/2019 03:30,CNY,1-y Loan Prime Rate,4.20%,4.15%,4.20%
20/11/2019 03:30,CNY,5-y Loan Prime Rate,4.85%,4.80%,4.85%
20/11/2019 09:00,EUR,German PPI m/m,0.0%,-0.2%,0.1%
20/11/2019 11:00,EUR,ECB Financial Stability Review,unknown,unknown,unknown
20/11/2019 12:34,EUR,German 30-y Bond Auction,unknown,0.14|1.2,0.07|1.3
20/11/2019 15:30,CAD,CPI m/m,0.3%,0.3%,-0.4%
20/11/2019 15:30,CAD,Common CPI y/y,1.9%,1.9%,1.9%
20/11/2019 15:30,CAD,Median CPI y/y,2.2%,2.2%,2.1%
20/11/2019 15:30,CAD,Trimmed CPI y/y,2.1%,2.1%,2.1%
20/11/2019 15:30,CAD,Core CPI m/m,unknown,0.4%,0.0%
20/11/2019 17:30,USD,Crude Oil Inventories,1.4M,1.4M,2.2M
20/11/2019 21:00,USD,FOMC Meeting Minutes,unknown,unknown,unknown
20/11/2019 23:00,USD,FOMC Financial Stability Report,unknown,unknown,unknown
21/11/2019 04:00,NZD,Credit Card Spending y/y,unknown,2.5%,4.7%
21/11/2019 06:30,JPY,All Industries Activity m/m,1.5%,1.5%,0.0%
21/11/2019 11:30,GBP,Public Sector Net Borrowing,8.5B,10.5B,7.3B
21/11/2019 11:40,EUR,Spanish 10-y Bond Auction,unknown,0.41|1.6,0.30|2.3
21/11/2019 14:30,EUR,ECB Monetary Policy Meeting Accounts,unknown,unknown,unknown
21/11/2019 15:30,CAD,ADP Non-Farm Employment Change,unknown,-22.6K,25.7K
21/11/2019 15:30,USD,Philly Fed Manufacturing Index,7.0,10.4,5.6
21/11/2019 15:30,USD,Unemployment Claims,215K,227K,227K
21/11/2019 15:40,CAD,BOC Gov Poloz Speaks,unknown,unknown,unknown
21/11/2019 17:00,EUR,Consumer Confidence,-7,-7,-8
21/11/2019 17:00,USD,CB Leading Index m/m,-0.1%,-0.1%,-0.2%
21/11/2019 17:00,USD,Existing Home Sales,5.49M,5.46M,5.36M
21/11/2019 17:30,USD,Natural Gas Storage,-86B,-94B,3B
22/11/2019 00:00,AUD,Flash Manufacturing PMI,unknown,49.9,50.0
22/11/2019 00:00,AUD,Flash Services PMI,unknown,49.5,50.1
22/11/2019 01:30,JPY,National Core CPI y/y,0.4%,0.4%,0.3%
22/11/2019 02:30,JPY,Flash Manufacturing PMI,48.7,48.6,48.4
22/11/2019 09:00,EUR,German Final GDP q/q,0.1%,0.1%,0.1%
22/11/2019 10:15,EUR,French Flash Services PMI,53.0,52.9,52.9
22/11/2019 10:15,EUR,French Flash Manufacturing PMI,50.9,51.6,50.7
22/11/2019 10:27,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
22/11/2019 10:30,EUR,German Flash Manufacturing PMI,42.9,43.8,42.1
22/11/2019 10:30,EUR,German Flash Services PMI,52.0,51.3,51.6
22/11/2019 11:00,EUR,Flash Manufacturing PMI,46.4,46.6,45.9
22/11/2019 11:00,EUR,Flash Services PMI,52.4,51.5,52.2
22/11/2019 11:30,GBP,Flash Manufacturing PMI,48.8,48.3,49.6
22/11/2019 11:30,GBP,Flash Services PMI,50.1,48.6,50.0
22/11/2019 15:00,EUR,German Buba President Weidmann Speaks,unknown,unknown,unknown
22/11/2019 15:30,CAD,Core Retail Sales m/m,-0.1%,0.2%,-0.1%
22/11/2019 15:30,CAD,Retail Sales m/m,-0.3%,-0.1%,0.1%
22/11/2019 16:45,USD,Flash Manufacturing PMI,51.5,52.2,51.3
22/11/2019 16:45,USD,Flash Services PMI,51.2,51.6,50.6
22/11/2019 17:00,USD,Revised UoM Consumer Sentiment,95.8,96.8,95.7
22/11/2019 17:00,USD,Revised UoM Inflation Expectations,unknown,2.5%,2.5%
25/11/2019 11:00,EUR,German ifo Business Climate,94.9,95.0,94.7
25/11/2019 13:00,GBP,CBI Realized Sales,-10,-3,-10
25/11/2019 15:30,CAD,Wholesale Sales m/m,1.1%,1.0%,-1.2%
25/11/2019 15:58,EUR,Belgian NBB Business Climate,-3.3,-3.9,-4.6
25/11/2019 16:00,CNY,CB Leading Index m/m,unknown,1.3%,0.9%
25/11/2019 23:45,NZD,Retail Sales q/q,0.5%,1.6%,0.2%
25/11/2019 23:47,NZD,Core Retail Sales q/q,0.6%,1.8%,0.3%
26/11/2019 01:50,AUD,RBA Deputy Gov Debelle Speaks,unknown,unknown,unknown
26/11/2019 01:50,JPY,SPPI y/y,1.8%,2.1%,0.5%
